"Category Name","Average Stars","Total Products"
"Rough Plumbing","3.67","9087"
"Ironing & Steamers","3.65","2423"
"Rugs, Pads & Protectors","3.64","3975"
"Drums & Percussion","3.64","248"
"Fragrances","3.64","18437"
"Headphones & Earphones","3.64","8774"
"Car & Vehicle Electronics","3.63","6711"
"Calendars & Personal Organisers","3.63","240"
"Hallway Furniture","3.63","3858"
"Art & Craft Supplies","3.63","197"
"Ski Goggles","3.63","248"
"Bedding & Linen","3.62","3098"
"DJ & VJ Equipment","3.62","2467"
"Kids' Play Vehicles","3.59","9306"
"Darts & Dartboards","3.58","246"
"Computer & Server Racks","3.57","238"
"Hard Drive Accessories","3.56","227"
"Lenses","3.54","3076"
"Storage & Home Organisation","3.50","8477"
"Billiard, Snooker & Pool","3.50","242"
"Cookware","3.50","1411"
"Furniture & Lighting","3.45","9047"
"Outdoor Lighting","3.44","8701"
"Bowling","3.36","236"
"Digital Cameras","3.29","1436"
"Motorbike Accessories","3.27","419"
"Electrical Power Accessories","3.27","8769"
"Pools, Hot Tubs & Supplies","3.23","8471"
"Handmade Home & Kitchen Products","3.21","6847"
"Motorbike Brakes","3.21","243"
"Professional Education Supplies","3.17","4425"
"Networking Devices","3.15","8944"
"Remote & App-Controlled Devices","3.13","8849"
"String Instruments","3.07","243"
"Tripods & Monopods","3.01","4654"
"Home Brewing & Wine Making","3.01","239"
"Blank Media Cases & Wallets","2.95","239"
"String Lights","2.93","8001"
"Cutting Tools","2.86","251"
"Trampolines & Accessories","2.86","213"
"GPS, Finders & Accessories","2.84","8619"
"Ski Clothing","2.81","1907"
"PC Gaming Accessories","2.80","8560"
"Kitchen Storage & Organisation","2.78","1202"
"3D Printers","2.77","237"
"Kitchen Tools & Gadgets","2.72","496"
"Microphones","2.67","9209"
"Smart Home Security & Lighting","2.61","56"
"Bird & Wildlife Care","2.59","8808"
"Smart Speakers","2.58","25"
"Internal TV Tuner & Video Capture Cards","2.54","248"
"Home Office Furniture","2.49","1979"
"Camcorders","2.46","456"
"Golf Shoes","2.44","407"
"Hi-Fi Speakers","2.43","8504"
"Sports Supplements","2.36","9071"
"General Music-Making Accessories","2.32","252"
"Handmade Gifts","2.32","15494"
"Printer Accessories","2.32","129"
"Mobile Phones & Smartphones","2.31","7273"
"Motorbike Engines & Engine Parts","2.31","225"
"Fireplaces, Stoves & Accessories","2.28","9166"
"Telephones, VoIP & Accessories","2.25","8637"
"Hiking Hand & Foot Warmers","2.25","242"
"Bedding Accessories","2.17","196"
"Professional Medical Supplies","2.09","251"
"Wind Instruments","2.07","245"
"PA & Stage","2.02","272"
"Electronic Toys","1.93","8659"
"Skiing Poles","1.91","252"
"eBook Readers & Accessories","1.83","235"
"Cricket Shoes","1.77","282"
"Gifts for Her","1.74","237"
"Basketball Footwear","1.74","6586"
